model,type,size,epoch,time_seconds
resnet18,rectangular,256,3,37
resnet18,rectangular,256,4,36
resnet18,rectangular,256,5,36
resnet18,rectangular,256,6,35
resnet18,rectangular,256,7,36
resnet18,rectangular,256,8,35
resnet18,rectangular,256,9,35
resnet18,rectangular,256,10,36
resnet18,rectangular,256,11,35
resnet18,rectangular,256,12,36
resnet18,rectangular,256,13,36
resnet18,rectangular,256,14,36
resnet18,rectangular,256,15,36
resnet18,rectangular,256,16,37
resnet18,rectangular,256,17,35
resnet18,rectangular,256,18,37
resnet18,rectangular,256,19,36
resnet18,rectangular,256,20,36
resnet18,rectangular,256,21,36
resnet18,rectangular,256,22,36
resnet18,rectangular,256,23,35
resnet18,rectangular,256,24,36
resnet18,rectangular,256,25,37
resnet18,rectangular,256,26,37
resnet18,rectangular,256,27,37
resnet18,rectangular,320,1,40
resnet18,rectangular,320,2,40
resnet18,rectangular,320,3,39
resnet18,rectangular,320,4,40
resnet18,rectangular,320,5,40
resnet18,rectangular,320,6,40
resnet18,rectangular,320,7,40
resnet18,rectangular,320,8,40
resnet18,rectangular,320,9,39
resnet18,rectangular,320,10,40
resnet18,rectangular,320,11,40
resnet18,rectangular,320,12,39
resnet18,rectangular,320,13,39
resnet50,original,224,1,67
resnet50,original,224,2,70
resnet50,original,224,3,71
resnet50,original,224,4,70
resnet50,original,224,5,70
resnet50,original,224,6,71
resnet50,original,224,7,69
resnet50,original,224,8,69
resnet50,original,224,9,71
resnet50,original,224,10,71
resnet50,original,224,11,71
resnet50,original,224,12,70
resnet50,original,224,13,70
resnet50,original,224,14,70
resnet50,original,224,15,70
resnet50,original,224,16,71
resnet50,original,224,17,71
resnet50,original,224,18,71
resnet50,original,224,19,70
resnet50,original,224,20,70
resnet50,original,224,21,70
resnet50,original,224,22,70
resnet50,original,224,23,71
resnet50,original,224,24,69
resnet50,original,256,1,72
resnet50,original,256,2,72
resnet50,original,256,3,72
resnet50,original,256,4,72
resnet50,original,256,5,72
resnet50,original,256,6,71
resnet50,original,256,7,72
resnet50,original,256,8,72
resnet50,original,256,9,71
resnet50,original,256,10,73
resnet50,original,256,11,72
resnet50,original,256,12,72
resnet50,original,256,13,71
resnet50,original,256,14,72
resnet50,original,256,15,71
resnet50,original,256,16,72
resnet50,original,256,17,75
resnet50,original,256,18,72
resnet50,original,256,19,73
resnet50,original,256,20,71
resnet50,original,256,21,75
resnet50,original,320,1,77
resnet50,original,320,2,75
resnet50,original,320,3,78
resnet50,original,320,4,76
resnet50,original,320,5,79
resnet50,original,320,6,77
resnet50,original,320,7,77
resnet50,original,320,8,77
resnet50,original,320,9,76
resnet50,original,320,10,75
resnet50,original,320,11,76
resnet50,original,320,12,77
resnet50,original,320,13,75
resnet50,original,320,14,76
resnet50,original,320,15,76
resnet50,original,320,16,77
resnet50,original,320,17,74
resnet50,rectangular,224,1,35
resnet50,rectangular,224,2,35
resnet50,rectangular,224,3,35
resnet50,rectangular,224,4,35
resnet50,rectangular,224,5,35
resnet50,rectangular,224,6,36
resnet50,rectangular,224,7,36
resnet50,rectangular,224,8,35
resnet50,rectangular,224,9,35
resnet50,rectangular,224,10,35
resnet50,rectangular,224,11,35
resnet50,rectangular,224,12,35
resnet50,rectangular,224,13,36
resnet50,rectangular,224,14,35
resnet50,rectangular,224,15,36
resnet50,rectangular,224,16,34
resnet50,rectangular,224,17,35
resnet50,rectangular,224,18,35
resnet50,rectangular,224,19,35
resnet50,rectangular,224,20,35
resnet50,rectangular,224,21,35
resnet50,rectangular,224,22,36
resnet50,rectangular,224,23,36
resnet50,rectangular,224,24,35
resnet50,rectangular,224,25,35
resnet50,rectangular,224,26,36
resnet50,rectangular,224,27,36
resnet50,rectangular,224,28,35
resnet50,rectangular,224,29,35
resnet50,rectangular,224,30,36
resnet50,rectangular,224,31,36
resnet50,rectangular,224,32,36
resnet50,rectangular,224,33,36
resnet50,rectangular,224,34,35
resnet50,rectangular,224,35,35
resnet50,rectangular,224,36,37
resnet50,rectangular,224,37,35
resnet50,rectangular,224,38,36
resnet50,rectangular,224,39,35
resnet50,rectangular,224,40,35
resnet50,rectangular,224,41,36
resnet50,rectangular,256,1,37
resnet50,rectangular,256,2,37
resnet50,rectangular,256,3,37
resnet50,rectangular,256,4,37
resnet50,rectangular,256,5,36
resnet50,rectangular,256,6,37
resnet50,rectangular,256,7,37
resnet50,rectangular,256,8,37
resnet50,rectangular,256,9,36
resnet50,rectangular,256,10,29
resnet50,rectangular,256,11,29
resnet50,rectangular,256,12,29
resnet50,rectangular,256,13,28
resnet50,rectangular,256,14,28
resnet50,rectangular,256,15,29
resnet50,rectangular,256,16,28
resnet50,rectangular,256,17,28
resnet50,rectangular,256,18,28
resnet50,rectangular,256,19,28
resnet50,rectangular,256,20,28
resnet50,rectangular,320,1,38
resnet50,rectangular,320,2,38
resnet50,rectangular,320,3,38
resnet50,rectangular,320,4,38
resnet50,rectangular,320,5,38
resnet50,rectangular,320,6,38
resnet50,rectangular,320,7,38
resnet50,rectangular,320,8,38
resnet50,rectangular,320,9,38
