arch,img_type,img_size,test_mae,test_rmse,test_r2,val_rmse_best,num_params,timestamp
resnet18,original,224,14.130983352661133,19.784722431695087,0.9947284460067749,20.250844678804835,11177025,20260510_151156
resnet18,original,256,8.267807960510254,13.144234650256957,0.9976732730865479,13.631614269512376,11177025,20260510_151156
resnet18,original,320,9.768774032592773,14.46595872356866,0.99718177318573,15.33766019282047,11177025,20260510_151156
resnet18,rectangular,224,11.002507209777832,16.84691401897958,0.9961777329444885,17.58428711436186,11177025,20260510_151156
resnet18,rectangular,256,8.0092134475708,13.532186497796017,0.9975338578224182,14.59544738439305,11177025,20260510_151156
resnet18,rectangular,320,10.943623542785645,15.589048972787806,0.9967272281646729,16.32139981867412,11177025,20260510_151156
